conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,label,clean,normal,lemma,stem,stop,token,tokening
"1,97644E+18",Thu Oct 09 23:54:56 +0000 2025,0,Nggak itu lebih ke Ormas pemalak instansi pemalak sam regulasi pemalak!!! Ditambah legislatif banyak yg bodoh,"1,97644E+18",,,in,,0,0,0,https://x.com/undefined/status/1976436246126919777,181951692,,negative,nggak itu lebih ke ormas pemalak instansi pemalak sam regulasi pemalak ditambah legislatif banyak yg bodoh,tidak itu lebih ke organisasi masyarakat pemalak instansi pemalak sam regulasi pemalak ditambah legislatif banyak yang bodoh,tidak itu lebih ke organisasi masyarakat alak instansi alak sam regulasi alak tambah legislatif banyak yang bodoh,tidak itu lebih ke organisasi masyarakat alak instansi alak sam regulasi alak tambah legislatif banyak yang bodoh,lebih organisasi masyarakat alak instansi alak sam regulasi alak tambah legislatif banyak bodoh,"[40, 3, 2, 633, 798, 633, 1762, 1763, 633, 216, 1764, 13, 290]","['lebih', 'organisasi', 'masyarakat', 'alak', 'instansi', 'alak', 'sam', 'regulasi', 'alak', 'tambah', 'legislatif', 'banyak', 'bodoh']"
"1,97628E+18",Thu Oct 09 23:52:21 +0000 2025,0,@Krist888 @ch_chotimah2 @prabowo @Gerindra Bener sih emg kntl bgt Pemerintah. Yg bikin makin payah antar ormas agama (sekalipun seagama) sering jg saling sabotase. Provokasi ke Forum Kerukunan Umat Beragama (Fkub) biar ga ngasih rekomendasi sbg syarat IMB. Trus Pemerintahnya diem bae. Jnck emg.,"1,97644E+18",,Krist888,in,,0,0,0,https://x.com/undefined/status/1976435597347856538,"1,5663E+18",,negative,bener sih emg kntl bgt pemerintah yg bikin makin payah antar ormas agama sekalipun seagama sering jg saling sabotase provokasi ke forum kerukunan umat beragama fkub biar ga ngasih rekomendasi sbg syarat imb trus pemerintahnya diem bae jnck emg,bener sih memang kntl banget pemerintah yang bikin makin payah antar organisasi masyarakat agama sekalipun seagama sering juga saling sabotase provokasi ke forum kerukunan umat beragama fkub biar tidak ngasih rekomendasi sbg syarat imb trus pemerintahnya diem bae jnck memang,bener sih ang kntl banget erintah yang bikin makin payah antar organisasi masyarakat agama kali agama ring juga saling sabotase provokasi ke forum rukun umat agama fkub biar tidak ngasih rekomendasi sbg syarat imb trus erintah diem bae jnck ang,bener sih ang kntl banget erintah yang bikin makin payah antar organisasi masyarakat agama kali agama ring juga saling sabotase provokasi ke forum rukun umat agama fkub biar tidak ngasih rekomendasi sbg syarat imb trus erintah diem bae jnck ang,bener keren bikin makin payah antar organisasi masyarakat agama kali agama ring saling sabotase provokasi forum rukun umat agama fkub biar ngasih rekomendasi sbg syarat imb trus diem bae jnck,"[53, 799, 27, 93, 1089, 1090, 3, 2, 9, 41, 9, 142, 1765, 1766, 800, 634, 801, 159, 9, 1767, 94, 511, 1768, 635, 1091, 171, 1092, 1093, 1769, 1770]","['bener', 'keren', 'bikin', 'makin', 'payah', 'antar', 'organisasi', 'masyarakat', 'agama', 'kali', 'agama', 'ring', 'saling', 'sabotase', 'provokasi', 'forum', 'rukun', 'umat', 'agama', 'fkub', 'biar', 'ngasih', 'rekomendasi', 'sbg', 'syarat', 'imb', 'trus', 'diem', 'bae', 'jnck']"
"1,97643E+18",Thu Oct 09 23:36:57 +0000 2025,1,Dih apa ini ormas cabang inter kah nitip rokok anying najis,"1,97643E+18",,,in,,0,0,0,https://x.com/undefined/status/1976431722603610240,"8,70651E+17",,negative,dih apa ini ormas cabang inter kah nitip rokok anying najis,dih apa ini organisasi masyarakat cabang inter kah nitip rokok anying najis,dih apa ini organisasi masyarakat cabang inter kah nitip rokok anying najis,dih apa ini organisasi masyarakat cabang inter kah nitip rokok anying najis,organisasi masyarakat cabang inter nitip rokok anying najis,"[3, 2, 1094, 1771, 1772, 1095, 802, 1096]","['organisasi', 'masyarakat', 'cabang', 'inter', 'nitip', 'rokok', 'anying', 'najis']"
"1,9762E+18",Thu Oct 09 23:27:43 +0000 2025,1,@noelaaee @Norkaf_ @IDWTR @zenrs Ormas masih sakit hati ga abis abis wkwkwkwkw Puasa nyaris 8 tahun emang bikin tantrum sih https://t.co/msQKwdHL34,"1,97643E+18",https://pbs.twimg.com/ext_tw_video_thumb/1976429369074786304/pu/img/jJU0AzA2kYNwSLpz.jpg,noelaaee,in,,0,1,0,https://x.com/undefined/status/1976429397944172711,1456928288,,negative,ormas masih sakit hati ga abis abis wkwkwkwkw puasa nyaris tahun emang bikin tantrum sih,organisasi masyarakat masih sakit hati tidak abis abis wkwkwkwkw puasa nyaris tahun emang bikin tantrum sih,organisasi masyarakat masih sakit hati tidak abis abis wkwkwkwkw puasa nyaris tahun emang bikin tantrum sih,organisasi masyarakat masih sakit hati tidak abis abis wkwkwkwkw puasa nyaris tahun emang bikin tantrum sih,organisasi masyarakat sakit hati abis abis wkwkwkwkw puasa nyaris tahun emang bikin tantrum,"[3, 2, 636, 193, 404, 404, 1773, 1774, 1775, 49, 76, 27, 1776]","['organisasi', 'masyarakat', 'sakit', 'hati', 'abis', 'abis', 'wkwkwkwkw', 'puasa', 'nyaris', 'tahun', 'emang', 'bikin', 'tantrum']"
"1,97643E+18",Thu Oct 09 23:22:29 +0000 2025,0,Ormas PPI Tunisia PPI lain begini nggak? @ppi,"1,97643E+18",,,in,,0,1,1,https://x.com/undefined/status/1976428079947055301,77976639,,neutral,ormas ppi tunisia ppi lain begini nggak,organisasi masyarakat organisasi masyarakat tunisia organisasi masyarakat lain begini tidak,organisasi masyarakat organisasi masyarakat tunisia organisasi masyarakat lain begini tidak,organisasi masyarakat organisasi masyarakat tunisia organisasi masyarakat lain begini tidak,organisasi masyarakat organisasi masyarakat tunisia organisasi masyarakat begini,"[3, 2, 3, 2, 1777, 3, 2, 172]","['organisasi', 'masyarakat', 'organisasi', 'masyarakat', 'tunisia', 'organisasi', 'masyarakat', 'begini']"
"1,97624E+18",Thu Oct 09 23:13:31 +0000 2025,0,@BudiBukanIntel Yg Sholawat kek DJ itu bukan ya kek zionis versi lite. Ormas Nambang ,"1,97643E+18",,BudiBukanIntel,in,,0,0,0,https://x.com/undefined/status/1976425824825094401,"1,73365E+18",,negative,yg sholawat kek dj itu bukan ya kek zionis versi lite ormas nambang,yang sholawat kek dj itu bukan ya kek zionis versi lite organisasi masyarakat nambang,yang sholawat kek dj itu bukan ya kek zionis versi lite organisasi masyarakat nambang,yang sholawat kek dj itu bukan ya kek zionis versi lite organisasi masyarakat nambang,sholawat dj bukan zionis versi lite organisasi masyarakat nambang,"[1778, 1779, 12, 637, 1780, 1781, 3, 2, 1097]","['sholawat', 'dj', 'bukan', 'zionis', 'versi', 'lite', 'organisasi', 'masyarakat', 'nambang']"
"1,97642E+18",Thu Oct 09 22:58:43 +0000 2025,7,Kebiasan pungli ormas goes international.,"1,97642E+18",,,in,,0,2,5,https://x.com/undefined/status/1976422099125411852,18249099,,negative,kebiasan pungli ormas goes international,kebiasan pungli organisasi masyarakat goes international,bias pungli organisasi masyarakat goes international,bias pungli organisasi masyarakat goes international,bias pungli organisasi masyarakat goes international,"[1098, 143, 3, 2, 1782, 1783]","['bias', 'pungli', 'organisasi', 'masyarakat', 'goes', 'international']"
"1,97628E+18",Thu Oct 09 22:54:23 +0000 2025,1,@ch_chotimah2 @prabowo @Gerindra Anda lihatnya ormasnya bos....kalo bukan ormas itu beda lagi acaranya....,"1,97642E+18",,ch_chotimah2,in,,0,0,0,https://x.com/undefined/status/1976421010770624597,"1,3033E+18",,negative,anda lihatnya ormasnya bos kalo bukan ormas itu beda lagi acaranya,anda lihatnya ormasnya bos kalau bukan organisasi masyarakat itu beda lagi acaranya,anda lihat ormas bos kalau bukan organisasi masyarakat itu beda lagi acara,anda lihat ormas bos kalau bukan organisasi masyarakat itu beda lagi acara,lihat ormas bos kalau bukan organisasi masyarakat beda acara,"[291, 253, 803, 5, 12, 3, 2, 114, 194]","['lihat', 'ormas', 'bos', 'kalau', 'bukan', 'organisasi', 'masyarakat', 'beda', 'acara']"
"1,97624E+18",Thu Oct 09 22:45:38 +0000 2025,0,@dbsantosa @persib @Jayyyy5__ Moal jauh. Palingan oge ti ormas nasbung jeung kadal hejo.,"1,97642E+18",,dbsantosa,in,,0,0,0,https://x.com/undefined/status/1976418806064128183,"1,53835E+18",,negative,moal jauh palingan oge ti ormas nasbung jeung kadal hejo,moal jauh palingan oge ti organisasi masyarakat nasbung jeung kadal hejo,moal jauh paling oge ti organisasi masyarakat nasbung jeung kadal hejo,moal jauh paling oge ti organisasi masyarakat nasbung jeung kadal hejo,moal jauh paling oge ti organisasi masyarakat nasbung jeung kadal hejo,"[1099, 115, 44, 1784, 804, 3, 2, 1785, 805, 1786, 1787]","['moal', 'jauh', 'paling', 'oge', 'ti', 'organisasi', 'masyarakat', 'nasbung', 'jeung', 'kadal', 'hejo']"
"1,97628E+18",Thu Oct 09 22:40:41 +0000 2025,0,@ilhampurnama887 Ormas penggarong uang negara dikit2 atas nama umat.,"1,97642E+18",,ilhampurnama887,in,,0,1,0,https://x.com/undefined/status/1976417564046799027,85495565,,negative,ormas penggarong uang negara dikit atas nama umat,organisasi masyarakat penggarong uang negara dikit atas nama umat,organisasi masyarakat garong uang negara dikit atas nama umat,organisasi masyarakat garong uang negara dikit atas nama umat,organisasi masyarakat garong uang negara dikit atas nama umat,"[3, 2, 1788, 77, 15, 405, 160, 57, 159]","['organisasi', 'masyarakat', 'garong', 'uang', 'negara', 'dikit', 'atas', 'nama', 'umat']"
